tool	n_sequences	scale_N	resource_class	machine	iteration	time_s	peak_ram_mb	peak_vram_mb	mean_cpu_pct	gpu_util_pct	gpu_name	success
FIMO + Prokaryote DB	1976	1976	cpu	16cpu	988	4.556	203.4					True
FIMO + Prokaryote DB	3952	3952	cpu	16cpu	1976	6.7557	208.2					True
FIMO + Prokaryote DB	9880	9880	cpu	16cpu	4940	13.6943	218.8					True
FIMO + Prokaryote DB	19760	19760	cpu	16cpu	9880	25.102	239.9					True
FIMO + Prokaryote DB	39520	39520	cpu	16cpu	19760	48.8853	277.7					True
FIMO + Prokaryote DB	59280	59280	cpu	16cpu	29640	71.64	328.6					True
FIMO + Prokaryote DB	98800	98800	cpu	16cpu	49400	119.147	467.7					True
FIMO + Prokaryote DB	197600	197600	cpu	16cpu	98800	234.1043	754.9					True
FIMO + Prokaryote DB	395200	395200	cpu	16cpu	197600	472.8697	1105.5					True
MLDSPP XGBoost	1976	1976	cpu	16cpu	988	0.2403	187.1					True
MLDSPP XGBoost	3952	3952	cpu	16cpu	1976	0.274	191.0					True
MLDSPP XGBoost	9880	9880	cpu	16cpu	4940	0.3713	208.3					True
MLDSPP XGBoost	19760	19760	cpu	16cpu	9880	0.5687	226.6					True
MLDSPP XGBoost	39520	39520	cpu	16cpu	19760	0.926	269.5					True
MLDSPP XGBoost	59280	59280	cpu	16cpu	29640	1.2803	311.4					True
MLDSPP XGBoost	98800	98800	cpu	16cpu	49400	2.1207	373.3					True
MLDSPP XGBoost	197600	197600	cpu	16cpu	98800	4.0243	603.1					True
MLDSPP XGBoost	395200	395200	cpu	16cpu	197600	7.584	1019.9					True
MLDSPP XGBoost (75% spn)	1976	1976	cpu	16cpu	988	0.2463	168.3					True
MLDSPP XGBoost (75% spn)	3952	3952	cpu	16cpu	1976	0.2907	167.4					True
MLDSPP XGBoost (75% spn)	9880	9880	cpu	16cpu	4940	0.4187	201.5					True
MLDSPP XGBoost (75% spn)	19760	19760	cpu	16cpu	9880	0.6497	232.6					True
MLDSPP XGBoost (75% spn)	39520	39520	cpu	16cpu	19760	1.0917	293.6					True
MLDSPP XGBoost (75% spn)	59280	59280	cpu	16cpu	29640	1.5163	358.2					True
MLDSPP XGBoost (75% spn)	98800	98800	cpu	16cpu	49400	2.4827	473.6					True
MLDSPP XGBoost (75% spn)	197600	197600	cpu	16cpu	98800	4.7783	750.3					True
MLDSPP XGBoost (75% spn)	395200	395200	cpu	16cpu	197600	9.2393	1380.6					True
PromoterLCNN	1976	1976	gpu	16cpu	988	1.928	1859.1					True
PromoterLCNN	3952	3952	gpu	16cpu	1976	2.0423	1872.0					True
PromoterLCNN	9880	9880	gpu	16cpu	4940	2.4833	1968.5					True
PromoterLCNN	19760	19760	gpu	16cpu	9880	3.193	1979.6					True
PromoterLCNN	39520	39520	gpu	16cpu	19760	3.361	2022.9					True
PromoterLCNN	59280	59280	gpu	16cpu	29640	3.4753	2037.0					True
PromoterLCNN	98800	98800	gpu	16cpu	49400	3.6747	2072.6					True
PromoterLCNN	197600	197600	gpu	16cpu	98800	4.2953	2150.0					True
PromoterLCNN	395200	395200	gpu	16cpu	197600	5.484	2290.9					True
iPro-MP (H. pylori)	1976	1976	gpu	16cpu	988	3.504	1307.4	2390.9	117.6	28.7	NVIDIA GeForce RTX 3090	True
iPro-MP (H. pylori)	3952	3952	gpu	16cpu	1976	6.876	1453.7	2390.9	113.9	44.8	NVIDIA GeForce RTX 3090	True
iPro-MP (H. pylori)	9880	9880	gpu	16cpu	4940	16.602	1491.4	1470.9	128.8	1.0	NVIDIA GeForce RTX 3090	True
iPro-MP (H. pylori)	19760	19760	gpu	16cpu	9880	34.842	1543.3	2390.9	103.9	78.4	NVIDIA GeForce RTX 3090	True
iPro-MP (H. pylori)	39520	39520	gpu	16cpu	19760	88.935	1624.8	2390.9	101.8	88.6	NVIDIA GeForce RTX 3090	True
iPro-MP (H. pylori)	59280	59280	gpu	16cpu	29640	149.567	1722.5	2392.9	101.3	91.0	NVIDIA GeForce RTX 3090	True
iPro-MP (H. pylori)	98800	98800	gpu	16cpu	49400	273.937	1906.4	2652.2	100.7	93.2	NVIDIA GeForce RTX 3090	True
iPro-MP (H. pylori)	197600	197600	gpu	16cpu	98800	570.75	2377.7	2390.9	100.4	95.0	NVIDIA GeForce RTX 3090	True
iPro-MP (H. pylori)	395200	395200	gpu	16cpu	197600	1167.277	3299.9	2399.6	100.2	95.6	NVIDIA GeForce RTX 3090	True
