iteration	scale_N	tool	time_s_1hilo	ram_mb_1hilo	time_s_16cores	ram_mb_16cores	speedup
988	1976	FIMO + Prokaryote DB	31.844	87.2	4.556	203.4	6.989464442493415
1976	3952	FIMO + Prokaryote DB	65.095	91.2	6.7557	208.2	9.635567002679219
4940	9880	FIMO + Prokaryote DB	162.528	128.3	13.6943	218.8	11.868295568229117
9880	19760	FIMO + Prokaryote DB	308.206	184.5	25.102	239.9	12.27814516771572
19760	39520	FIMO + Prokaryote DB	617.1057040816327	277.7	48.8853	277.7	12.623543357238939
29640	59280	FIMO + Prokaryote DB	923.6782551020408	328.6	71.64	328.6	12.893331310748755
49400	98800	FIMO + Prokaryote DB	1536.823357142857	467.7	119.147	467.7	12.898548491719112
98800	197600	FIMO + Prokaryote DB	3069.6861122448977	754.9	234.1043	754.9	13.112472142736797
197600	395200	FIMO + Prokaryote DB	6135.411622448979	1105.5	472.8697	1105.5	12.974846183735137
988	1976	MLDSPP XGBoost	0.427	149.0	0.2403	187.1	1.7769454848106532
1976	3952	MLDSPP XGBoost	0.546	163.9	0.274	191.0	1.9927007299270072
4940	9880	MLDSPP XGBoost	0.586	201.9	0.3713	208.3	1.5782386210611363
9880	19760	MLDSPP XGBoost	0.769	220.0	0.5687	226.6	1.3522067874098822
19760	39520	MLDSPP XGBoost	1.1080510204081633	269.5	0.926	269.5	1.196599374090889
29640	59280	MLDSPP XGBoost	1.447438775510204	311.4	1.2803	311.4	1.130546571514648
49400	98800	MLDSPP XGBoost	2.126214285714286	373.3	2.1207	373.3	1.0026002196040393
98800	197600	MLDSPP XGBoost	3.8231530612244904	603.1	4.0243	603.1	0.9500169125623066
197600	395200	MLDSPP XGBoost	7.217030612244899	1019.9	7.584	1019.9	0.9516126862137261
988	1976	MLDSPP XGBoost (75% spn)	0.449	150.7	0.2463	168.3	1.8229801055623225
988	1976	PromoterLCNN	1.856	1839.9	1.928	1859.1	0.9626556016597512
1976	3952	PromoterLCNN	1.98	1864.4	2.0423	1872.0	0.9694951770063164
4940	9880	PromoterLCNN	2.543	1990.5	2.4833	1968.5	1.0240405911488746
9880	19760	PromoterLCNN	3.14	1982.6	3.193	1979.6	0.9834011901033511
19760	39520	PromoterLCNN	4.624244897959185	2022.9	3.361	2022.9	1.3758538821657795
29640	59280	PromoterLCNN	6.072306122448982	2037.0	3.4753	2037.0	1.7472753783699198
49400	98800	PromoterLCNN	8.968428571428575	2072.6	3.6747	2072.6	2.440587958589429
98800	197600	PromoterLCNN	16.20873469387756	2150.0	4.2953	2150.0	3.773597814792345
197600	395200	PromoterLCNN	30.68934693877553	2290.9	5.484	2290.9	5.596161002694298
988	1976	iPro-MP (H. pylori)	6.866	1302.6	3.504	1307.4	1.9594748858447488
1976	3952	iPro-MP (H. pylori)	14.474	1291.2	6.876	1453.7	2.10500290866783
4940	9880	iPro-MP (H. pylori)	34.09	1421.3	16.602	1491.4	2.0533670642091315
9880	19760	iPro-MP (H. pylori)	68.435	1328.6	34.842	1543.3	1.964152459675105
19760	39520	iPro-MP (H. pylori)	136.37305102040818	1624.8	88.935	1624.8	1.5334013720178579
29640	59280	iPro-MP (H. pylori)	204.37743877551023	1722.5	149.567	1722.5	1.3664607752746945
49400	98800	iPro-MP (H. pylori)	340.3862142857143	1906.4	273.937	1906.4	1.2425711542643538
98800	197600	iPro-MP (H. pylori)	680.4081530612244	2377.7	570.75	2377.7	1.1921299221396837
197600	395200	iPro-MP (H. pylori)	1360.452030612245	3299.9	1167.277	3299.9	1.1654920216985727
