Sequence_ID	Locus_Tag	Position	Strand	Window_Size	GC_Content
TIGR4_NEG_SP_0001-857-f	SP_0001	857	+	81	40.74
TIGR4_NEG_SP_0001-1067-f	SP_0001	1067	+	81	35.8
TIGR4_NEG_SP_0002-1867-f	SP_0002	1867	+	81	25.93
TIGR4_NEG_SP_0002-2287-f	SP_0002	2287	+	81	35.8
TIGR4_NEG_SP_0004-4056-f	SP_0004	4056	+	81	49.38
TIGR4_NEG_SP_0006-5362-f	SP_0006	5362	+	81	33.33
TIGR4_NEG_SP_0006-5972-f	SP_0006	5972	+	81	29.63
TIGR4_NEG_SP_0006-6192-f	SP_0006	6192	+	81	27.16
TIGR4_NEG_SP_0006-6252-f	SP_0006	6252	+	81	28.4
TIGR4_NEG_SP_0006-6892-f	SP_0006	6892	+	81	44.44
TIGR4_NEG_SP_0006-6982-f	SP_0006	6982	+	81	30.86
TIGR4_NEG_SP_0006-7082-f	SP_0006	7082	+	81	37.04
TIGR4_NEG_SP_0006-7412-f	SP_0006	7412	+	81	37.04
TIGR4_NEG_SP_0006-7812-f	SP_0006	7812	+	81	39.51
TIGR4_NEG_SP_0010-10036-f	SP_0010	10036	+	81	30.86
TIGR4_NEG_SP_0011-11261-f	SP_0011	11261	+	81	33.33
TIGR4_NEG_SP_0011-11311-f	SP_0011	11311	+	81	34.57
TIGR4_NEG_SP_0013-12440-f	SP_0013	12440	+	81	37.04
TIGR4_NEG_SP_0013-12800-f	SP_0013	12800	+	81	40.74
TIGR4_NEG_SP_0013-13880-f	SP_0013	13880	+	81	41.98
TIGR4_NEG_SP_0013-14130-f	SP_0013	14130	+	81	29.63
TIGR4_NEG_SP_0019-23062-f	SP_0019	23062	+	81	39.51
TIGR4_NEG_SP_0019-23452-f	SP_0019	23452	+	81	41.98
TIGR4_NEG_SP_0026-28304-f	SP_0026	28304	+	81	33.33
TIGR4_NEG_SP_0026-28514-f	SP_0026	28514	+	81	41.98
TIGR4_NEG_SP_0032-31765-f	SP_0032	31765	+	81	48.15
TIGR4_NEG_SP_0032-31835-f	SP_0032	31835	+	81	49.38
TIGR4_NEG_SP_0032-32225-f	SP_0032	32225	+	81	40.74
TIGR4_NEG_SP_0032-32615-f	SP_0032	32615	+	81	32.1
TIGR4_NEG_SP_0032-33465-f	SP_0032	33465	+	81	45.68
TIGR4_NEG_SP_0032-33525-f	SP_0032	33525	+	81	46.91
TIGR4_NEG_SP_0032-33695-f	SP_0032	33695	+	81	38.27
TIGR4_NEG_SP_0032-33715-f	SP_0032	33715	+	81	35.8
TIGR4_NEG_SP_0035-36848-f	SP_0035	36848	+	81	48.15
TIGR4_NEG_SP_0037-38151-f	SP_0037	38151	+	81	39.51
TIGR4_NEG_SP_0042-40946-f	SP_0042	40946	+	81	56.79
TIGR4_NEG_SP_0042-41056-f	SP_0042	41056	+	81	45.68
