Sequence_ID	Locus_Tag	Position	Strand	Window_Size	GC_Content
TIGR4_NEG_SP_0001-857-f	SP_0001	857	+	81	40.74
TIGR4_NEG_SP_0001-1067-f	SP_0001	1067	+	81	35.8
TIGR4_NEG_SP_0002-1867-f	SP_0002	1867	+	81	25.93
TIGR4_NEG_SP_0002-2287-f	SP_0002	2287	+	81	35.8
TIGR4_NEG_SP_0006-5362-f	SP_0006	5362	+	81	33.33
TIGR4_NEG_SP_0006-7412-f	SP_0006	7412	+	81	37.04
TIGR4_NEG_SP_0010-10036-f	SP_0010	10036	+	81	30.86
TIGR4_NEG_SP_0011-11311-f	SP_0011	11311	+	81	34.57
TIGR4_NEG_SP_0013-13880-f	SP_0013	13880	+	81	41.98
TIGR4_NEG_SP_0019-23062-f	SP_0019	23062	+	81	39.51
TIGR4_NEG_SP_0019-23452-f	SP_0019	23452	+	81	41.98
TIGR4_NEG_SP_0026-28304-f	SP_0026	28304	+	81	33.33
TIGR4_NEG_SP_0032-32225-f	SP_0032	32225	+	81	40.74
TIGR4_NEG_SP_0032-33715-f	SP_0032	33715	+	81	35.8
TIGR4_NEG_SP_0035-36848-f	SP_0035	36848	+	81	48.15
TIGR4_NEG_SP_0042-41056-f	SP_0042	41056	+	81	45.68
TIGR4_NEG_SP_0043-44052-f	SP_0043	44052	+	81	40.74
TIGR4_NEG_SP_0043-44152-f	SP_0043	44152	+	81	43.21
TIGR4_NEG_SP_0045-45690-f	SP_0045	45690	+	81	51.85
TIGR4_NEG_SP_0045-46040-f	SP_0045	46040	+	81	45.68
TIGR4_NEG_SP_0045-46690-f	SP_0045	46690	+	81	50.62
TIGR4_NEG_SP_0045-47710-f	SP_0045	47710	+	81	46.91
TIGR4_NEG_SP_0045-48650-f	SP_0045	48650	+	81	48.15
TIGR4_NEG_SP_0045-48910-f	SP_0045	48910	+	81	38.27
TIGR4_NEG_SP_0050-53521-f	SP_0050	53521	+	81	45.68
TIGR4_NEG_SP_0051-55210-f	SP_0051	55210	+	81	53.09
TIGR4_NEG_SP_0056-58671-f	SP_0056	58671	+	81	49.38
TIGR4_NEG_SP_0057-61094-r	SP_0057	61094	-	81	45.68
TIGR4_NEG_SP_0058-64310-r	SP_0058	64310	-	81	33.33
TIGR4_NEG_SP_0060-65815-f	SP_0060	65815	+	81	46.91
TIGR4_NEG_SP_0065-70670-f	SP_0065	70670	+	81	35.8
TIGR4_NEG_SP_0071-74941-f	SP_0071	74941	+	81	53.09
TIGR4_NEG_SP_0071-75411-f	SP_0071	75411	+	81	35.8
TIGR4_NEG_SP_0071-77781-f	SP_0071	77781	+	81	37.04
TIGR4_NEG_SP_0082-87288-f	SP_0082	87288	+	81	50.62
TIGR4_NEG_SP_0082-87458-f	SP_0082	87458	+	81	45.68
TIGR4_NEG_SP_0096-98551-f	SP_0096	98551	+	81	43.21
