Sequence_ID	Regulatory_Class	Sigma_Factor_Assignment	Has_Minus35_Signal	Has_Extended_Minus10_Signal	Has_Standard_Minus10_Signal	Has_ComX_CINbox_Signal
TIGR4_SP_0001_TSS_161_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_RS00015_TSS_2902_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0004_TSS_3167_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0007_TSS_8507_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0010_TSS_9188_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0012_TSS_11779_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0014_TSS_14436_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_2242_TSS_15005_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_rrnaA16S_TSS_15198_+	ComX_SigmaX_Site	SigX	False	True	True	True
TIGR4_SP_rrnaA5S_TSS_20100_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_RS11515_TSS_20422_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0019_TSS_22759_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0020_TSS_24292_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0021_TSS_24944_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0027_TSS_28813_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0033_TSS_34234_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0035_TSS_36144_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0041_TSS_39821_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0051_TSS_54713_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0055_TSS_57883_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0056_TSS_58183_+	Orphan_Unassigned	Unassigned	False	False	False	False
TIGR4_SP_0060_TSS_64910_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TIGR4_SP_0071_TSS_73652_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_0074_TSS_80628_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0075_TSS_81400_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TIGR4_SP_RS11555_TSS_84967_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TIGR4_SP_0083_TSS_89005_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
