Sequence_ID	Locus_Tag	Chromosome	TSS_Position	Strand	Upstream_bp	Downstream_bp	Window_Size	GC_Content	UTR5_Length	Location_Type	Confidence_Sheet	Processed_Coverage	Processed_Ratio
TIGR4_SP_0001_TSS_161_+	SP_0001	NC_003028.3	161	+	60	20	81	25.93	36.0	tss_intergenic	High Confidence (TSS_100.4)	642.0	5.83636363636364
TIGR4_SP_0002_TSS_1341_+	SP_0002	NC_003028.3	1341	+	60	20	81	33.33	376.0	tss_within_coding	Low Confidence (TSS_2.1)	26.0	1.04
TIGR4_SP_RS00015_TSS_2902_+	SP_RS00015	NC_003028.3	2902	+	60	20	81	37.04	16.0	tss_intergenic	High Confidence (TSS_100.4)	2525.0	8.5016835016835
TIGR4_SP_0004_TSS_3167_+	SP_0004	NC_003028.3	3167	+	60	20	81	35.8	29.0	tss_intergenic	High Confidence (TSS_100.4)	4798.0	17.1971326164875
TIGR4_SP_0005_TSS_4319_+	SP_0005	NC_003028.3	4319	+	60	20	81	30.86	63.0	tss_intergenic	Low Confidence (TSS_2.1)	34.0	1.13333333333333
TIGR4_SP_0006_TSS_4626_+	SP_0006	NC_003028.3	4626	+	60	20	81	33.33	326.0	tss_within_coding	Low Confidence (TSS_2.1)	40.0	1.0
TIGR4_SP_0007_TSS_8507_+	SP_0007	NC_003028.3	8507	+	60	20	81	20.99	12.0	tss_intergenic	High Confidence (TSS_100.4)	7507.0	5.93438735177866
TIGR4_SP_0008_TSS_8549_+	SP_0008	NC_003028.3	8549	+	60	20	81	28.4	229.0	tss_within_coding	Low Confidence (TSS_2.1)	133.0	1.11764705882353
TIGR4_SP_0010_TSS_9188_+	SP_0010	NC_003028.3	9188	+	60	20	81	32.1	78.0	tss_intergenic	High Confidence (TSS_100.4)	382.0	382.0
TIGR4_SP_0011_TSS_10372_+	SP_0011	NC_003028.3	10372	+	60	20	81	34.57	159.0	tss_within_coding	Low Confidence (TSS_2.1)	14.0	1.75
TIGR4_nan_TSS_11480_+	nan	NC_003028.3	11480	+	60	20	81	37.04	NA		Secondary TSS, High confidence		
