query_d39v	target_tigr4	alnlen	mismatches	qstart	qend	tstart	tend	evalue	bitscore	len_d39v	orient_d39v	left_d39v	right_d39v	len_tigr4	orient_tigr4	left_tigr4	right_tigr4
IGR_D39V_0917	IGR_NC_003028.3_0978	74	0	1	74	1	74	7.004E-38	134.0	74	TANDEM(--)	SPV_1080	SPV_1081	74	TANDEM(--)	SP_RS05990	SP_RS05995
IGR_D39V_1045	IGR_NC_003028.3_1116	83	0	1	83	1	83	5.546E-43	150.0	83	TANDEM(--)	SPV_1240	SPV_1241	83	TANDEM(--)	SP_RS06905	SP_RS06910
IGR_D39V_0890	IGR_NC_003028.3_0948	80	0	1	80	1	80	2.782E-41	145.0	80	TANDEM(++)	SPV_1041	SPV_1042	80	TANDEM(++)	SP_RS05805	SP_RS05810
IGR_D39V_1082	IGR_NC_003028.3_1154	77	0	1	77	1	77	1.396E-39	139.0	77	TANDEM(--)	SPV_1288	SPV_1289	77	TANDEM(--)	SP_RS07170	SP_RS07175
IGR_D39V_0581	IGR_NC_003028.3_0613	285	0	1	285	1	285	2.450E-157	512.0	285	TANDEM(++)	SPV_0660	SPV_0661	285	TANDEM(++)	SP_RS03705	SP_RS03710
IGR_D39V_0741	IGR_NC_003028.3_0783	39	0	1	39	1	39	4.963E-18	71.0	39	TANDEM(++)	SPV_2259	SPV_0861	39	TANDEM(++)	SP_RS04825	SP_RS04830
IGR_D39V_0869	IGR_NC_003028.3_0828	73	0	73	1	1	73	2.584E-37	132.0	73	TANDEM(--)	SPV_0913	SPV_0912	73	TANDEM(++)	SP_RS05095	SP_RS05100
IGR_D39V_1429	IGR_NC_003028.3_1540	84	0	1	84	1	84	1.504E-43	152.0	84	TANDEM(--)	SPV_1740	SPV_1741	84	TANDEM(--)	SP_RS09755	SP_RS09760
IGR_D39V_1493	IGR_NC_003028.3_1602	157	0	1	157	1	157	6.738E-85	283.0	157	DIVERGENT	SPV_1829	SPV_1830	157	DIVERGENT	SP_RS10220	SP_RS10225
IGR_D39V_1557	IGR_NC_003028.3_1668	77	0	1	77	1	77	1.396E-39	139.0	77	CONVERGENT	SPV_1926	SPV_1927	77	CONVERGENT	SP_RS10695	SP_RS10700
IGR_D39V_1621	IGR_NC_003028.3_1732	154	0	1	154	1	154	3.366E-83	277.0	154	TANDEM(--)	SPV_2000	SPV_2002	154	TANDEM(--)	SP_RS11080	SP_RS11085
IGR_D39V_0022	IGR_NC_003028.3_0027	148	0	1	148	1	148	8.400E-80	267.0	148	DIVERGENT	SPV_0040	SPV_0041	148	DIVERGENT	SP_RS00210	SP_RS00215
IGR_D39V_0555	IGR_NC_003028.3_0587	207	0	1	207	1	207	4.344E-113	372.0	208	CONVERGENT	SPV_0631	SPV_0632	209	CONVERGENT	SP_RS03550	SP_RS03555
IGR_D39V_0587	IGR_NC_003028.3_0618	33	0	1	33	1	33	1.261E-14	61.0	33	TANDEM(++)	SPV_0665	SPV_0666	33	TANDEM(++)	SP_RS03730	SP_RS03735
IGR_D39V_0715	IGR_NC_003028.3_0755	108	0	1	108	1	108	3.787E-57	195.0	108	TANDEM(++)	SPV_0829	SPV_0831	108	TANDEM(++)	SP_RS04640	SP_RS04645
IGR_D39V_0747	IGR_NC_003028.3_0789	66	0	1	66	1	66	2.403E-33	120.0	66	TANDEM(++)	SPV_0867	SPV_0868	66	TANDEM(++)	SP_RS04860	SP_RS04865
IGR_D39V_0370	IGR_NC_003028.3_0372	25	0	1	25	122	146	4.373E-10	46.0	25	CONVERGENT	SPV_0418	SPV_0419	146	CONVERGENT	SP_RS02255	SP_RS02260
IGR_D39V_0530	IGR_NC_003028.3_0560	103	0	1	103	1	103	2.576E-54	186.0	103	TANDEM(++)	SPV_0597	SPV_0598	103	TANDEM(++)	SP_RS03365	SP_RS03370
IGR_D39V_0562	IGR_NC_003028.3_0592	110	0	1	110	1	110	2.788E-58	199.0	110	TANDEM(++)	SPV_0636	SPV_0637	110	TANDEM(++)	SP_RS03575	SP_RS03580
IGR_D39V_0058	IGR_NC_003028.3_0063	166	0	1	166	1	166	5.410E-90	299.0	166	TANDEM(++)	SPV_0080	SPV_0081	166	TANDEM(++)	SP_RS00425	SP_RS00430
IGR_D39V_0234	IGR_NC_003028.3_0219	188	0	1	188	237	424	1.903E-102	338.0	188	TANDEM(++)	SPV_2486	SPV_0253	424	TANDEM(++)	SP_RS01325	SP_RS01330
IGR_D39V_0330	IGR_NC_003028.3_0331	86	0	1	86	1	86	1.106E-44	156.0	86	DIVERGENT	SPV_0368	SPV_0369	86	DIVERGENT	SP_RS02000	SP_RS02005
IGR_D39V_0362	IGR_NC_003028.3_0363	30	0	1	30	1	30	6.356E-13	55.0	30	TANDEM(++)	SPV_0406	SPV_2492	106	TANDEM(++)	SP_RS02200	SP_RS02205
IGR_D39V_0394	IGR_NC_003028.3_0401	32	0	1	32	97	128	4.657E-14	59.0	32	TANDEM(++)	SPV_2494	SPV_0442	128	TANDEM(++)	SP_RS13595	SP_RS02435
IGR_D39V_0426	IGR_NC_003028.3_0446	29	0	1	29	122	150	2.348E-12	53.0	29	TANDEM(++)	SPV_2495	SPV_0475	150	TANDEM(++)	SP_RS02690	SP_RS02695
IGR_D39V_0458	IGR_NC_003028.3_0480	81	0	1	81	1	81	7.542E-42	147.0	81	TANDEM(++)	SPV_0514	SPV_0515	81	TANDEM(++)	SP_RS02920	SP_RS02925
IGR_D39V_0490	IGR_NC_003028.3_0516	150	0	1	150	249	398	6.192E-81	270.0	150	TANDEM(++)	SPV_2498	SPV_2193	398	TANDEM(++)	SP_RS03105	SP_RS13755
IGR_D39V_1099	IGR_NC_003028.3_1175	456	0	1	456	466	921	4.631E-254	818.0	456	TANDEM(--)	SPV_1319	SPV_1320	921	TANDEM(--)	SP_RS07325	SP_RS07340
IGR_D39V_1131	IGR_NC_003028.3_1208	105	0	1	105	1	105	1.896E-55	190.0	105	DIVERGENT	SPV_1358	SPV_1359	105	DIVERGENT	SP_RS07530	SP_RS07535
IGR_D39V_1163	IGR_NC_003028.3_1235	51	0	1	51	1	51	7.719E-25	93.0	51	TANDEM(--)	SPV_1396	SPV_1397	51	TANDEM(--)	SP_RS07720	SP_RS07725
