Sequence_ID	Locus_Tag	Position	Strand	Window_Size	GC_Content
TIGR4_NEG_SP_0001-497-f	SP_0001	497	+	81	29.63
TIGR4_NEG_SP_0001-667-f	SP_0001	667	+	81	30.86
TIGR4_NEG_SP_0002-2087-f	SP_0002	2087	+	81	30.86
TIGR4_NEG_SP_0006-5362-f	SP_0006	5362	+	81	33.33
TIGR4_NEG_SP_0006-6142-f	SP_0006	6142	+	81	32.1
TIGR4_NEG_SP_0006-7042-f	SP_0006	7042	+	81	34.57
TIGR4_NEG_SP_0010-9506-f	SP_0010	9506	+	81	35.8
TIGR4_NEG_SP_0010-9666-f	SP_0010	9666	+	81	33.33
TIGR4_NEG_SP_0010-9916-f	SP_0010	9916	+	81	33.33
TIGR4_NEG_SP_0011-11211-f	SP_0011	11211	+	81	30.86
TIGR4_NEG_SP_0011-11281-f	SP_0011	11281	+	81	33.33
TIGR4_NEG_SP_0013-14050-f	SP_0013	14050	+	81	34.57
TIGR4_NEG_SP_0013-14130-f	SP_0013	14130	+	81	29.63
TIGR4_NEG_SP_0014-14740-f	SP_0014	14740	+	81	34.57
TIGR4_NEG_SP_0042-42086-f	SP_0042	42086	+	81	34.57
TIGR4_NEG_SP_0043-44122-f	SP_0043	44122	+	81	34.57
TIGR4_NEG_SP_0057-60734-r	SP_0057	60734	-	81	34.57
TIGR4_NEG_SP_0057-61164-r	SP_0057	61164	-	81	35.8
TIGR4_NEG_SP_0060-66195-f	SP_0060	66195	+	81	35.8
TIGR4_NEG_SP_0071-73991-f	SP_0071	73991	+	81	32.1
TIGR4_NEG_SP_0071-74361-f	SP_0071	74361	+	81	35.8
TIGR4_NEG_SP_0071-75511-f	SP_0071	75511	+	81	27.16
TIGR4_NEG_SP_0071-76281-f	SP_0071	76281	+	81	30.86
TIGR4_NEG_SP_0071-77191-f	SP_0071	77191	+	81	35.8
TIGR4_NEG_SP_0071-77301-f	SP_0071	77301	+	81	33.33
TIGR4_NEG_SP_0071-77491-f	SP_0071	77491	+	81	34.57
TIGR4_NEG_SP_0071-78041-f	SP_0071	78041	+	81	35.8
TIGR4_NEG_SP_0071-78621-f	SP_0071	78621	+	81	33.33
TIGR4_NEG_SP_0071-79211-f	SP_0071	79211	+	81	33.33
TIGR4_NEG_SP_0082-88518-f	SP_0082	88518	+	81	30.86
TIGR4_NEG_SP_0084-90243-f	SP_0084	90243	+	81	35.8
TIGR4_NEG_SP_0102-104109-f	SP_0102	104109	+	81	32.1
