Sequence_ID	Locus_Tag	Chromosome	TSS_Position	Strand	Upstream_bp	Downstream_bp	Window_Size	GC_Content	UTR5_Length	Location_Type	Confidence_Sheet	Processed_Coverage	Processed_Ratio
TIGR4_SP_0001_TSS_161_+	SP_0001	NC_003028.3	161	+	60	20	81	25.93	36.0	tss_intergenic	High Confidence (TSS_100.4)	642.0	5.83636363636364
TIGR4_SP_RS00015_TSS_2902_+	SP_RS00015	NC_003028.3	2902	+	60	20	81	37.04	16.0	tss_intergenic	High Confidence (TSS_100.4)	2525.0	8.5016835016835
TIGR4_SP_0004_TSS_3167_+	SP_0004	NC_003028.3	3167	+	60	20	81	35.8	29.0	tss_intergenic	High Confidence (TSS_100.4)	4798.0	17.1971326164875
TIGR4_SP_0007_TSS_8507_+	SP_0007	NC_003028.3	8507	+	60	20	81	20.99	12.0	tss_intergenic	High Confidence (TSS_100.4)	7507.0	5.93438735177866
TIGR4_SP_0010_TSS_9188_+	SP_0010	NC_003028.3	9188	+	60	20	81	32.1	78.0	tss_intergenic	High Confidence (TSS_100.4)	382.0	382.0
TIGR4_nan_TSS_11480_+	nan	NC_003028.3	11480	+	60	20	81	37.04	NA		Secondary TSS, High confidence		
TIGR4_SP_0012_TSS_11779_+	SP_0012	NC_003028.3	11779	+	60	20	81	23.46	33.0	tss_within_coding	High Confidence (TSS_100.4)	4719.0	6.6936170212766
TIGR4_SP_0014_TSS_14436_+	SP_0014	NC_003028.3	14436	+	60	20	81	32.1	14.0	tss_intergenic	High Confidence (TSS_100.4)	101.0	11.2222222222222
TIGR4_SP_2242_TSS_15005_+	SP_2242	NC_003028.3	15005	+	60	20	81	25.93	18.0	tss_intergenic	High Confidence (TSS_100.4)	15813.0	90.8793103448276
TIGR4_SP_rrnaA16S_TSS_15198_+	SP_rrnaA16S	NC_003028.3	15198	+	60	20	81	32.1	151.0	tss_intergenic	High Confidence (TSS_100.4)	9466.0	37.2677165354331
TIGR4_SP_rrnaA5S_TSS_20100_+	SP_rrnaA5S	NC_003028.3	20100	+	60	20	81	30.86	20.0	tss_intergenic	High Confidence (TSS_100.4)	539.0	539.0
TIGR4_nan_TSS_20352_+	nan	NC_003028.3	20352	+	60	20	81	34.57	NA		Secondary TSS, High confidence		
TIGR4_SP_RS11515_TSS_20422_+	SP_RS11515	NC_003028.3	20422	+	60	20	81	25.93	0.0	tss_intergenic	High Confidence (TSS_100.4)	5853.0	7.92016238159675
TIGR4_SP_0019_TSS_22759_+	SP_0019	NC_003028.3	22759	+	60	20	81	23.46	73.0	tss_intergenic	High Confidence (TSS_100.4)	39490.0	31.3412698412698
TIGR4_SP_0020_TSS_24292_+	SP_0020	NC_003028.3	24292	+	60	20	81	34.57	27.0	tss_intergenic	High Confidence (TSS_100.4)	1391.0	1391.0
TIGR4_SP_0021_TSS_24944_+	SP_0021	NC_003028.3	24944	+	60	20	81	24.69	29.0	tss_intergenic	High Confidence (TSS_100.4)	127.0	5.52173913043478
TIGR4_SP_0027_TSS_28813_+	SP_0027	NC_003028.3	28813	+	60	20	81	34.57	49.0	tss_intergenic	High Confidence (TSS_100.4)	11244.0	34.3853211009174
TIGR4_SP_0033_TSS_34234_+	SP_0033	NC_003028.3	34234	+	60	20	81	34.57	19.0	tss_intergenic	High Confidence (TSS_100.4)	179.0	179.0
TIGR4_SP_0035_TSS_36144_+	SP_0035	NC_003028.3	36144	+	60	20	81	38.27	24.0	tss_intergenic	High Confidence (TSS_100.4)	3258.0	13.4074074074074
TIGR4_SP_0041_TSS_39821_+	SP_0041	NC_003028.3	39821	+	60	20	81	27.16	50.0	tss_intergenic	High Confidence (TSS_100.4)	4381.0	5.46941323345818
TIGR4_SP_0051_TSS_54713_+	SP_0051	NC_003028.3	54713	+	60	20	81	25.93	27.0	tss_intergenic	High Confidence (TSS_100.4)	2675.0	10.7429718875502
TIGR4_SP_0055_TSS_57883_+	SP_0055	NC_003028.3	57883	+	60	20	81	39.51	98.0	tss_within_coding	High Confidence (TSS_100.4)	22552.0	9.22749590834697
TIGR4_SP_0056_TSS_58183_+	SP_0056	NC_003028.3	58183	+	60	20	81	38.27	88.0	tss_within_coding	High Confidence (TSS_100.4)	181.0	181.0
TIGR4_SP_0060_TSS_64910_+	SP_0060	NC_003028.3	64910	+	60	20	81	28.4	45.0	tss_intergenic	High Confidence (TSS_100.4)	498.0	10.1632653061224
TIGR4_SP_0071_TSS_73652_+	SP_0071	NC_003028.3	73652	+	60	20	81	19.75	109.0	tss_intergenic	High Confidence (TSS_100.4)	599.0	5.87254901960784
