Sequence_ID	Slager_2018_Regulatory_Class	Sigma_Factor_Assignment	Has_Minus35_Signal	Has_Extended_Minus10_Signal	Has_Standard_Minus10_Signal	Has_ComX_CINbox_Signal
TSS_1_D39V_2971_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_2_D39V_8311_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_3_D39V_9760_-	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
TSS_4_D39V_11583_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_5_D39V_14240_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_6_D39V_14809_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_7_D39V_15002_+	ComX_SigmaX_Site	SigX	False	True	True	True
TSS_8_D39V_15042_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_9_D39V_16855_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_10_D39V_16877_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_11_D39V_19903_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_12_D39V_20225_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_13_D39V_22142_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_14_D39V_22562_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_15_D39V_23967_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_16_D39V_24095_+	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_17_D39V_24632_+	RpoD_Complete_Bipartite_With_Extended_Minus10	SigA	True	True	True	False
TSS_18_D39V_24736_+	ComX_SigmaX_Site	SigX	False	False	False	True
TSS_19_D39V_24747_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_20_D39V_27149_+	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_21_D39V_28585_+	RpoD_Complete_Bipartite_Standard	SigA	True	False	True	False
TSS_22_D39V_29658_+	ComX_SigmaX_Site	SigX	False	False	False	True
TSS_23_D39V_29885_-	Orphan_Unassigned	Unassigned	False	False	False	False
TSS_24_D39V_31168_-	RpoD_Extended_Minus10_Only	SigA	False	True	True	False
TSS_25_D39V_31219_-	ComX_SigmaX_Site	SigX	False	False	False	True
TSS_26_D39V_31306_+	RpoD_Standard_Minus10_Only	SigA	False	False	True	False
